2023-10-12 13:35:39,020 INFO    Thread-28 (_run_job):57895 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2023-10-12 13:35:39,021 INFO    Thread-28 (_run_job):57895 [wandb_setup.py:_flush():76] Configure stats pid to 57895
2023-10-12 13:35:39,021 INFO    Thread-28 (_run_job):57895 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntulsa/.config/wandb/settings
2023-10-12 13:35:39,021 INFO    Thread-28 (_run_job):57895 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntulsa/Sem5/SMAI/Assignment 3/wandb/settings
2023-10-12 13:35:39,021 INFO    Thread-28 (_run_job):57895 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'your_project_name', 'entity': 'mourya', 'root_dir': '/home/ubuntulsa/Sem5/SMAI/Assignment 3', 'run_id': 'rm81iuxf', 'sweep_param_path': '/home/ubuntulsa/Sem5/SMAI/Assignment 3/wandb/sweep-3gxp58f5/config-rm81iuxf.yaml', 'sweep_id': '3gxp58f5'}
2023-10-12 13:35:39,021 INFO    Thread-28 (_run_job):57895 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-12 13:35:39,021 INFO    Thread-28 (_run_job):57895 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-10-12 13:35:39,021 INFO    Thread-28 (_run_job):57895 [wandb_init.py:_log_setup():528] Logging user logs to /home/ubuntulsa/Sem5/SMAI/Assignment 3/wandb/run-20231012_133539-rm81iuxf/logs/debug.log
2023-10-12 13:35:39,021 INFO    Thread-28 (_run_job):57895 [wandb_init.py:_log_setup():529] Logging internal logs to /home/ubuntulsa/Sem5/SMAI/Assignment 3/wandb/run-20231012_133539-rm81iuxf/logs/debug-internal.log
2023-10-12 13:35:39,022 INFO    Thread-28 (_run_job):57895 [wandb_init.py:init():568] calling init triggers
2023-10-12 13:35:39,022 INFO    Thread-28 (_run_job):57895 [wandb_init.py:init():575] wandb.init called with sweep_config: {'activation': 'relu', 'optimizer': 'SGD'}
config: {}
2023-10-12 13:35:39,022 INFO    Thread-28 (_run_job):57895 [wandb_init.py:init():618] starting backend
2023-10-12 13:35:39,022 INFO    Thread-28 (_run_job):57895 [wandb_init.py:init():622] setting up manager
2023-10-12 13:35:39,026 INFO    Thread-28 (_run_job):57895 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-12 13:35:39,026 INFO    Thread-28 (_run_job):57895 [wandb_init.py:init():628] backend started and connected
2023-10-12 13:35:39,036 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_config_callback():1324] config_cb None None {'activation': 'relu', 'optimizer': 'SGD'}
2023-10-12 13:35:39,037 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_label_probe_notebook():1276] probe notebook
2023-10-12 13:35:39,040 INFO    Thread-28 (_run_job):57895 [wandb_init.py:init():720] updated telemetry
2023-10-12 13:35:39,042 INFO    Thread-28 (_run_job):57895 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-12 13:35:39,736 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_on_init():2220] communicating current version
2023-10-12 13:35:39,855 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.15.12 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-10-12 13:35:39,856 INFO    Thread-28 (_run_job):57895 [wandb_init.py:init():804] starting run threads in backend
2023-10-12 13:35:39,962 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_console_start():2199] atexit reg
2023-10-12 13:35:39,962 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-12 13:35:39,962 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-12 13:35:39,962 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-12 13:35:39,963 INFO    Thread-28 (_run_job):57895 [wandb_init.py:init():845] run started, returning control to user process
2023-10-12 13:35:40,105 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_finish():1934] finishing run mourya/your_project_name/rm81iuxf
2023-10-12 13:35:40,105 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-12 13:35:40,105 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_restore():2151] restore
2023-10-12 13:35:40,105 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_restore():2157] restore done
2023-10-12 13:35:45,340 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_footer_history_summary_info():3554] rendering history
2023-10-12 13:35:45,340 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_footer_history_summary_info():3586] rendering summary
2023-10-12 13:35:45,344 INFO    Thread-28 (_run_job):57895 [wandb_run.py:_footer_sync_info():3513] logging synced files
